,statistics.Mean,statistics.SD,statistics.Naive.SE,statistics.Time.series.SE,quantiles.2.5.,quantiles.25.,quantiles.50.,quantiles.75.,quantiles.97.5.
delta[112],0.010661898,0.380433433,0.003106226,0.005985316,-0.810256621,-0.141876049,0.006330454,0.159784599,0.849281227
delta[113],0.007536834,0.419723967,0.003427032,0.009490886,-0.835688063,-0.154426253,-0.001873227,0.15638074,0.896523204
delta[114],-0.007461439,0.417713886,0.00341062,0.007944103,-0.932537153,-0.156159357,-0.004730126,0.148155234,0.889290222
delta[115],-0.011388254,0.404028062,0.003298875,0.006452059,-0.920603501,-0.153644647,-0.003130394,0.146527388,0.814801634
delta[116],0.00176831,0.410061746,0.00334814,0.008221955,-0.866249389,-0.146705211,0.001285206,0.151500855,0.856378198
delta[117],0.000267358,0.390988918,0.003192411,0.005793827,-0.870352561,-0.145393236,0.002048708,0.15681068,0.822048551
delta[118],-0.00604004,0.402135569,0.003283423,0.006193415,-0.864400909,-0.153644439,0.00171345,0.151832758,0.824049626
delta[119],0.003734,0.406010889,0.003315065,0.00563268,-0.828778111,-0.150538147,0.002410544,0.152980729,0.894231838
delta[120],0.015500831,0.392799637,0.003207196,0.005741493,-0.802693824,-0.141259723,0.007430776,0.154455911,0.912448974
delta[121],0.012547288,0.402328229,0.003284996,0.006101413,-0.82579469,-0.144423221,0.004334131,0.15500344,0.924772955
delta[122],0.008706285,0.398480603,0.00325358,0.005439594,-0.815452447,-0.146871201,-0.000662094,0.150997477,0.876122169
delta[123],-0.001555961,0.40598588,0.003314861,0.006335679,-0.865752086,-0.147782305,0.001793537,0.148364921,0.837838344
delta[124],0.004656391,0.397169124,0.003242872,0.006661739,-0.831292263,-0.144090467,0.002974821,0.15659826,0.820627114
delta[125],-0.000242533,0.402589796,0.003287132,0.005999389,-0.853527772,-0.150106139,-0.002271063,0.146453937,0.87328426
delta[126],0.011515343,0.389997459,0.003184316,0.005422692,-0.810608426,-0.144345269,0.002911225,0.156323148,0.885259544
delta[127],0.009015758,0.396364576,0.003236303,0.005891976,-0.818401721,-0.149259613,0.001904701,0.154418457,0.901177487
delta[128],-0.000396525,0.407150829,0.003324373,0.007193194,-0.871071515,-0.151874346,0.000569597,0.146737618,0.856399277
delta[129],0.005186976,0.409560267,0.003344046,0.005744736,-0.864115831,-0.147435744,0.001035141,0.154985284,0.876596306
delta[130],0.007765987,0.395168345,0.003226536,0.005792669,-0.814689335,-0.146792275,0.003913822,0.151888249,0.875227211
delta[131],-0.007981451,0.391014208,0.003192618,0.005962229,-0.86341909,-0.151001765,0.000529084,0.149856304,0.787530123
delta[132],0.013355206,0.389373479,0.003179221,0.006641536,-0.794185574,-0.142850248,0.003326,0.154908466,0.894597161
delta[133],0.009797602,0.393404839,0.003212137,0.00636986,-0.83118162,-0.144565334,0.005658757,0.157083943,0.856894337
delta[134],0.01108241,0.397993335,0.003249602,0.006826597,-0.81093882,-0.145530157,0.001536606,0.157130206,0.90201228
delta[135],-0.002705058,0.40160265,0.003279072,0.007162509,-0.840659079,-0.148219122,-0.000889065,0.149779983,0.857765982
delta[136],0.005046359,0.400805976,0.003272567,0.006192703,-0.83173713,-0.14902969,0.000614829,0.151182797,0.8683218
delta[137],0.010471455,0.402709445,0.003288109,0.005969313,-0.825692065,-0.146031133,0.005740014,0.157105225,0.896451726
delta[138],0.010035032,0.387722942,0.003165745,0.006251008,-0.776495779,-0.144921249,0.002513587,0.15560716,0.837570853
delta[139],0.000831451,0.387252191,0.003161901,0.00556068,-0.820595362,-0.149373088,-0.000341862,0.150228128,0.842963769
delta[140],-0.002817783,0.394491476,0.003221009,0.007012245,-0.906184394,-0.145528417,0.000316344,0.151101345,0.807178375
