,statistics.Mean,statistics.SD,statistics.Naive.SE,statistics.Time.series.SE,quantiles.2.5.,quantiles.25.,quantiles.50.,quantiles.75.,quantiles.97.5.
delta[18],-0.036839864,0.290887341,0.002375085,0.004873412,-0.683012685,-0.155693015,-0.021252018,0.102776236,0.528998964
delta[19],0.027561417,0.290940593,0.00237552,0.004868175,-0.531055871,-0.110695399,0.014015298,0.152506242,0.686710882
delta[20],0.014313361,0.276783634,0.002259929,0.004497023,-0.551002519,-0.119921703,0.00725385,0.137188685,0.628464498
delta[21],-0.033218304,0.296191629,0.002418395,0.005232404,-0.704590575,-0.150753055,-0.01492261,0.110469796,0.527707424
delta[22],0.05280667,0.297482253,0.002428932,0.006194951,-0.495372694,-0.094608609,0.028536313,0.17099454,0.76355405
delta[23],-0.025885767,0.287910804,0.002350782,0.003877195,-0.692695667,-0.149282933,-0.014980552,0.110760418,0.548808961
delta[24],0.0080286,0.281086917,0.002295065,0.003873642,-0.579743082,-0.123954542,0.002721888,0.131790012,0.632768928
delta[25],-0.038092315,0.2787306,0.002275826,0.004290432,-0.69318748,-0.154955082,-0.021070099,0.100301807,0.507351769
delta[26],-0.026061714,0.29303389,0.002392612,0.004957853,-0.700104589,-0.145447753,-0.012101512,0.117286653,0.555310219
delta[27],-0.003899868,0.276941663,0.002261219,0.003679903,-0.605439131,-0.131731952,-0.003763408,0.125857779,0.586639543
delta[28],-0.046663553,0.283028873,0.002310921,0.005372108,-0.723256569,-0.161219888,-0.025295966,0.093972175,0.478820864
delta[29],0.046591385,0.298786696,0.002439583,0.006550243,-0.523858597,-0.095007158,0.02650835,0.168095229,0.727454811
delta[30],0.101607152,0.297092983,0.002425754,0.01117463,-0.372349576,-0.061279335,0.054512209,0.211605244,0.87476402
delta[31],-0.033637131,0.301760839,0.002463867,0.005120675,-0.719886039,-0.150671792,-0.015742681,0.10763766,0.54381203
delta[32],-0.023799672,0.286603345,0.002340107,0.004328901,-0.665793128,-0.143789231,-0.011037356,0.110632877,0.552521878
delta[33],0.003402598,0.291449047,0.002379672,0.003719061,-0.627736664,-0.125512756,0.003210957,0.134508875,0.631413414
delta[34],0.047293207,0.297380825,0.002428104,0.008836043,-0.483699541,-0.097326639,0.022549546,0.160502916,0.722069791
delta[35],-0.010748795,0.282776066,0.002308857,0.003491701,-0.62618303,-0.136989608,-0.006561641,0.120303006,0.571129195
delta[36],0.052645595,0.291623108,0.002381093,0.006495635,-0.482752414,-0.093602957,0.029051948,0.171301548,0.744118889
delta[37],-0.00427652,0.295964276,0.002416538,0.004109594,-0.64881211,-0.131098989,-0.000592611,0.128595869,0.596352379
delta[38],-0.02162547,0.285920141,0.002334528,0.003755181,-0.662664623,-0.142696581,-0.010576095,0.110813245,0.563161802
delta[39],-0.022036842,0.285552033,0.002331523,0.004426791,-0.677465971,-0.144366701,-0.010915365,0.113146525,0.557781296
delta[40],-0.02072798,0.293499176,0.002396411,0.004715458,-0.677687056,-0.146325145,-0.0127599,0.118604288,0.555099937
delta[41],-0.008195585,0.28886513,0.002358574,0.003552592,-0.630075705,-0.135561214,-0.005609574,0.117168449,0.616537289
delta[42],-0.01993346,0.291126605,0.002377039,0.004533559,-0.665764861,-0.142334394,-0.00864896,0.114085648,0.56497108
