,statistics.Mean,statistics.SD,statistics.Naive.SE,statistics.Time.series.SE,quantiles.2.5.,quantiles.25.,quantiles.50.,quantiles.75.,quantiles.97.5.
delta[30],-0.012810177,0.374243534,0.003055686,0.005606821,-0.850585336,-0.151875772,-0.005557958,0.132567115,0.766238821
delta[31],-0.043753531,0.39408611,0.0032177,0.008141492,-0.923755681,-0.166956709,-0.017040716,0.120853159,0.687547609
delta[32],-0.023214067,0.391932499,0.003200115,0.006948829,-0.838927429,-0.157118318,-0.011773356,0.128604539,0.737979011
delta[33],-0.011420721,0.380440734,0.003106286,0.007280946,-0.826825706,-0.144314473,-0.00066425,0.135431064,0.771581154
delta[34],-0.022611111,0.353839669,0.002889089,0.005752179,-0.835852894,-0.153412209,-0.009868529,0.125693882,0.68689914
delta[35],-0.023200222,0.366331276,0.002991082,0.006838419,-0.859092799,-0.154413647,-0.008508387,0.129284109,0.706832468
delta[36],-0.048467178,0.377586172,0.003082978,0.009524855,-0.922364091,-0.166222479,-0.016064217,0.111635804,0.629716999
delta[37],-0.022900744,0.374267892,0.003055885,0.005791994,-0.850046467,-0.152759042,-0.008115844,0.12882942,0.722923537
delta[38],-0.026098094,0.392786542,0.003207089,0.005937868,-0.868540319,-0.162588319,-0.008847328,0.131681503,0.713631501
delta[39],-0.041316087,0.376338878,0.003072794,0.008712299,-0.884139009,-0.172051286,-0.019352092,0.114748743,0.697913159
delta[40],-0.023089805,0.357400531,0.002918163,0.005305699,-0.819233601,-0.156629017,-0.011418872,0.126954818,0.705930971
delta[41],-0.036654795,0.379611026,0.003099511,0.007826478,-0.933568567,-0.165243405,-0.012810172,0.122720171,0.67655119
delta[42],-0.042319974,0.388472398,0.003171864,0.011620118,-0.933001198,-0.1646644,-0.015329391,0.122012454,0.674900951
delta[43],-0.034295265,0.373339961,0.003048308,0.006994342,-0.882117346,-0.159781807,-0.011534709,0.122299014,0.669451858
delta[44],-0.031495634,0.391554685,0.003197031,0.008775459,-0.905381281,-0.159534317,-0.011089352,0.129106598,0.711445476
delta[45],-0.016487346,0.377530433,0.003082523,0.005854249,-0.822871977,-0.148508368,-0.006434718,0.128451409,0.718035897
delta[46],-0.027180097,0.371385754,0.003032352,0.005949866,-0.866215355,-0.161797704,-0.01246699,0.12499821,0.716365401
delta[47],-0.011038097,0.386637645,0.003156883,0.00846388,-0.823094643,-0.148722844,-0.004941562,0.137021175,0.794704027
