,statistics.Mean,statistics.SD,statistics.Naive.SE,statistics.Time.series.SE,quantiles.2.5.,quantiles.25.,quantiles.50.,quantiles.75.,quantiles.97.5.
lambda2[12],0.061335833,0.583091483,0.004760922,0.010207971,-1.055712549,-0.179235517,0.020451602,0.247343454,1.489080089
lambda2[13],-0.061951242,0.62473803,0.005100965,0.011690023,-1.53541725,-0.259652432,-0.019764974,0.181626657,1.175804871
lambda2[14],0.150599366,0.577621505,0.00471626,0.015257877,-0.833530037,-0.120180969,0.05767397,0.324724778,1.637760661
lambda2[15],-0.080692859,0.64483977,0.005265095,0.014222457,-1.590110463,-0.266448048,-0.022482929,0.170094049,1.129703505
lambda2[16],-0.088264695,0.639545189,0.005221865,0.017215309,-1.610207081,-0.258339822,-0.02695929,0.161912757,1.064032787
lambda2[17],-0.02991254,0.61087535,0.004987776,0.009247449,-1.463617873,-0.226972571,-0.006248159,0.202919602,1.208406478
lambda2[18],-0.108202775,0.509862643,0.004163011,0.012649439,-1.372756921,-0.286666962,-0.050739702,0.129756607,0.815888382
lambda2[19],-0.046941858,0.642534806,0.005246275,0.011260945,-1.463714853,-0.245881532,-0.016709741,0.1832183,1.21704682
lambda2[20],-0.112004832,0.523814846,0.00427693,0.012027315,-1.38738898,-0.303952858,-0.051660078,0.131622197,0.876134949
lambda2[21],0.027807864,0.415749352,0.003394579,0.014450625,-0.841642719,-0.170373752,0.014236925,0.21426428,0.939238049
lambda2[22],-0.064059692,0.634358718,0.005179517,0.013088002,-1.487936357,-0.249049878,-0.022198356,0.172655603,1.140510857
lambda2[23],-0.021408659,0.600212656,0.004900716,0.010933528,-1.353887388,-0.224401431,-0.011303647,0.196553123,1.241118986
lambda2[24],-0.062998228,0.618415211,0.005049339,0.012066073,-1.54545233,-0.255057477,-0.020538774,0.181010939,1.146198773
