,statistics.Mean,statistics.SD,statistics.Naive.SE,statistics.Time.series.SE,quantiles.2.5.,quantiles.25.,quantiles.50.,quantiles.75.,quantiles.97.5.
delta[142],0.010728878,0.314365532,0.002566784,0.004257337,-0.596524604,-0.106819199,0.005314324,0.118570543,0.676547795
delta[143],0.005018674,0.304879938,0.002489334,0.003672494,-0.651964221,-0.108143042,0.003592306,0.119377786,0.648978367
delta[144],-0.001541309,0.321563583,0.002625556,0.003647365,-0.645060939,-0.117548076,0.002416565,0.117624258,0.632359263
delta[145],0.004165114,0.310314576,0.002533708,0.004017339,-0.633703642,-0.112708182,0.003136357,0.119145037,0.644532688
delta[146],-0.001290319,0.33368014,0.002724487,0.004366187,-0.669445855,-0.115520483,-0.000695658,0.1156149,0.690955524
delta[147],-0.001924399,0.314395708,0.00256703,0.007135679,-0.625238442,-0.114668008,-9.41E-05,0.11742064,0.600858518
delta[148],0.005621905,0.325333844,0.00265634,0.005096292,-0.62163443,-0.118121157,0.001523775,0.116504438,0.655678725
delta[149],0.003808836,0.319059778,0.002605112,0.005007515,-0.651846062,-0.113751866,0.000705058,0.114551192,0.691235499
delta[150],0.001885094,0.32037649,0.002615863,0.004453345,-0.661119029,-0.112357876,0.001473107,0.121668759,0.64868593
delta[151],0.007111444,0.32242771,0.002632611,0.006776095,-0.615021081,-0.11584359,0.000588657,0.116446669,0.661179591
delta[152],-0.00018596,0.306174171,0.002499902,0.003623084,-0.637076446,-0.114784084,0.001289536,0.117942787,0.6429589
delta[153],0.008747637,0.323647457,0.00264257,0.004210347,-0.6155199,-0.11298057,0.002108565,0.11725813,0.685135168
delta[154],0.006216642,0.318736683,0.002602474,0.003917232,-0.60687307,-0.113320245,0.003253363,0.11805943,0.675806116
delta[155],-0.004147441,0.31069719,0.002536832,0.00418935,-0.668132967,-0.116248899,-0.000319773,0.114752317,0.627434914
delta[156],0.00185678,0.314273827,0.002566035,0.003875155,-0.625400932,-0.117425674,-0.000369032,0.117584784,0.641657989
delta[157],0.004719022,0.306369551,0.002501497,0.003421561,-0.619889549,-0.11317584,0.002043426,0.119859634,0.634157782
delta[158],0.005748828,0.317416168,0.002591692,0.003563512,-0.610328739,-0.113231012,0.00154445,0.116825361,0.673243187
delta[159],0.009968414,0.317699801,0.002594008,0.005342969,-0.58343866,-0.107649836,0.002407302,0.116403994,0.64608428
delta[160],-0.005224124,0.313609271,0.002560609,0.004626218,-0.657122713,-0.116821577,-0.002516599,0.114608226,0.632330867
delta[161],0.002922161,0.319315309,0.002607199,0.004567043,-0.636135737,-0.11102711,0.003324049,0.118879493,0.650821926
delta[162],0.000839405,0.309840668,0.002529838,0.004036515,-0.61709295,-0.116492715,0.000489484,0.117589328,0.632362083
delta[163],0.010172463,0.324502535,0.002649552,0.006640857,-0.603429036,-0.109262983,0.005045844,0.124185081,0.681288582
delta[164],0.000683436,0.315263696,0.002574117,0.004479875,-0.639378866,-0.114764962,0.001730059,0.117463123,0.666150018
delta[165],0.002570009,0.315539763,0.002576371,0.003769262,-0.626989492,-0.11821755,0.001319835,0.116326471,0.637671363
delta[166],0.00595706,0.318911508,0.002603902,0.004783028,-0.640032246,-0.111688025,0.002182984,0.118786161,0.65766884
delta[167],0.004928709,0.316662919,0.002585542,0.003504509,-0.632799269,-0.112829592,0.001427695,0.118422964,0.648112675
delta[168],0.003522191,0.319915758,0.002612101,0.003730799,-0.62667757,-0.112789598,0.002462005,0.117550814,0.65975968
delta[169],0.001788104,0.311782127,0.00254569,0.003462288,-0.622701091,-0.113832518,0.001514657,0.116266056,0.651500387
delta[170],-0.003188824,0.302566113,0.002470442,0.003648599,-0.641047099,-0.112996794,-0.000496,0.112249146,0.611649025
delta[171],-0.006779016,0.319625424,0.002609731,0.003399586,-0.697244309,-0.117517334,-0.001762088,0.112959075,0.616908794
delta[172],0.008030332,0.325305266,0.002656106,0.003767715,-0.63340052,-0.112677358,0.00244687,0.118642916,0.687576491
delta[173],0.006398998,0.325855657,0.0026606,0.00429871,-0.631158636,-0.111428103,0.002167227,0.118785612,0.67603402
delta[174],0.007753229,0.320506067,0.002616921,0.004167054,-0.613355756,-0.116063311,-5.05E-06,0.116180299,0.707633105
delta[175],-0.003500157,0.311931743,0.002546912,0.003545495,-0.673165844,-0.117820503,-0.000504122,0.1147807,0.623560278
delta[176],0.00646708,0.311307863,0.002541818,0.004061679,-0.615518548,-0.114793734,0.001869648,0.115782945,0.673283752
home,-80.90740463,59.22338527,0.483556916,0.774999382,-221.7494116,-115.5680088,-69.4046276,-33.9978599,-4.33241923
lambda1[1],0.14141366,1.50004003,0.012247776,0.039151974,-2.596080716,-0.243473735,0.03351179,0.416668472,3.514648808
lambda1[2],0.157956343,1.575871122,0.012866934,0.052236959,-2.563417452,-0.258174339,0.027983122,0.412727395,3.496105035
lambda1[3],0.148169798,1.472454762,0.012022543,0.048800079,-2.386716797,-0.254263157,0.030007807,0.409708484,3.429550861
lambda1[4],-0.227745276,1.335978567,0.010908219,0.052220372,-3.70212871,-0.430046758,-0.03216964,0.244241598,1.856180398
lambda1[5],0.108814975,1.437509506,0.011737216,0.032739439,-2.723696208,-0.247681334,0.033105098,0.418443982,3.151606148
lambda1[6],0.06558822,1.362022802,0.01112087,0.02872452,-2.816828948,-0.260708657,0.025268028,0.385422526,3.017448943
lambda1[7],0.175408236,1.488030464,0.012149718,0.034640333,-2.508635437,-0.245153234,0.04116942,0.430135857,3.824958536
lambda1[8],0.135113687,1.504174129,0.01228153,0.051114754,-2.598471346,-0.244272015,0.033033851,0.42710397,3.496916066
lambda1[9],0.1656154,1.494587084,0.012203252,0.036614716,-2.433091849,-0.249577948,0.035013328,0.418964321,3.669252626
lambda1[10],-0.422191832,1.423005691,0.011618793,0.078095742,-4.037439122,-0.560627307,-0.084584719,0.151048212,1.140427038
lambda1[11],0.106258172,1.638084859,0.013374907,0.065367318,-2.822495746,-0.258186918,0.0312494,0.392453107,3.166578333
lambda1[12],0.166698694,1.510525748,0.012333391,0.041442479,-2.433523906,-0.244714388,0.034867192,0.429557779,3.731959007
lambda1[13],0.147149649,1.531139741,0.012501704,0.036961645,-2.837222102,-0.24431238,0.035992661,0.423731116,3.769552374
lambda1[14],0.149658456,1.502678168,0.012269316,0.031437475,-2.49070041,-0.254968906,0.030839547,0.412118363,3.471060095
lambda1[15],-0.191075464,0.507611424,0.00414463,0.017563598,-1.408231598,-0.416907116,-0.101167272,0.090500551,0.651490024
lambda1[16],0.050621698,1.535724603,0.012539139,0.062831872,-3.041537647,-0.274399956,0.029150662,0.396901401,3.073414646
lambda1[17],0.102346445,1.437616756,0.011738092,0.028774187,-2.760093717,-0.261518433,0.031151651,0.404624985,3.275533764
lambda1[18],0.172629241,1.459533239,0.011917039,0.041645704,-2.3888279,-0.238323704,0.038413667,0.425100112,3.529949144
lambda1[19],-0.888518036,1.69645225,0.013851475,0.11866571,-5.039712604,-1.173313466,-0.348807847,-0.026716823,0.419868684
lambda1[20],0.164113007,1.487284188,0.012143625,0.031839047,-2.470882091,-0.235020855,0.035027527,0.429243778,3.586417571
lambda1[21],0.159316101,1.483600523,0.012113548,0.040787905,-2.328431823,-0.251525942,0.031129341,0.414112619,3.496999886
